, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
,"6,000-7,000'",132,97,45.7,42.8,64.6,"43,207",19,NA,NA,NA
,"7,000-8,000'",133,119,-,-,90.5,-,3,NA,NA,NA
,"8,000-9,000'",124,143,-,-,99.4,-,0,NA,NA,NA
,"9,000-10,000'",221,70,-,-,99.5,-,0,NA,NA,NA
,"10,000-11,000'",18,17,28.1,-,97.4,-,0,NA,NA,NA
14. Upper Deschutes-Crooked,"4,000-5,000'",190,170,1.9,1.4,11.4,"293,618","3,836",19.5 ( 1 ),21.5 ( 1 ),4.2 ( 1 )
,"5,000-6,000'",136,152,9.2,10.4,50.6,"823,467","1,479",26.0 ( 5 ),29.2 ( 5 ),16.8 ( 4 )
,"6,000-7,000'",125,135,21.5,30.9,77.3,"411,907",250,NA,NA,NA
,"7,000-8,000'",128,139,35,-,86.7,-,40,NA,NA,NA
,"8,000-9,000'",137,148,-,-,96.3,-,2,NA,NA,NA
,"9,000-10,000'",155,139,-,-,95.1,-,1,NA,NA,NA
15. Upper Yakima,"3,000-4,000'",117,86,5.8,4,24,"106,191",492,16.3 ( 1 ),17.1 ( 1 ),NA
,"4,000-5,000'",102,94,12.5,12.5,55.3,"239,925",359,28.0 ( 1 ),29.0 ( 1 ),NA
,"5,000-6,000'",116,107,21,22.8,70.3,"195,205",161,16.9 ( 1 ),15.0 ( 1 ),NA
,"6,000-7,000'",121,119,31.7,34.2,77.5,"38,759",21,NA,NA,NA
,"7,000-8,000'",121,111,-,-,84.9,-,1,NA,NA,NA
16. Willamette,0,NA,NA,0,0,0,0,"4,942",0.0 ( 1 ),0.0 ( 1 ),NA
,"1,000-2,000'",7,0,0,0,0,0,"1,975",0.4 ( 1 ),0.0 ( 1 ),NA
,"2,000-3,000'",2,3,0,0,0,220,"1,621",0.7 ( 2 ),1.4 ( 2 ),NA
,"3,000-4,000'",11,24,0.1,0.4,2.4,"30,372","1,455",3.9 ( 6 ),5.4 ( 6 ),0.0 ( 1 )
,"4,000-5,000'",70,79,3.2,6.1,22.9,"287,463",883,25.3 ( 8 ),30.4 ( 8 ),NA
,"5,000-6,000'",130,119,16.7,23.5,63.4,"502,077",400,35.8 ( 1 ),42.2 ( 1 ),NA
,"6,000-7,000'",132,128,33.2,47,76.8,"167,362",67,NA,NA,NA
,"7,000-8,000'",140,136,60.4,-,85.5,-,11,NA,NA,NA
,"8,000-9,000'",144,132,-,-,91.1,-,2,NA,NA,NA
,"9,000-10,000'",171,145,-,-,93.3,-,1,NA,NA,NA
