, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
23. South Platte§,"7,000-8,000'",0,0,0,0,0,0,"1,416",NA,NA,NA
,"8,000-9,000'",9,7,0,0,0.1,325,"1,466",1.9 ( 3 ),0.7 ( 3 ),0.2 ( 5 )
,"9,000-10,000'",50,39,0.5,0.3,3.5,"19,892","1,435",12.6 ( 5 ),9.2 ( 6 ),1.5 ( 11 )
,"10,000-11,000'",51,48,4.1,3.6,30.5,"133,580",686,12.5 ( 7 ),11.8 ( 7 ),9.7 ( 8 )
,"11,000-12,000'",63,56,7.5,6.9,59.9,"162,638",439,14.0 ( 5 ),13.8 ( 5 ),7.3 ( 3 )
,"12,000-13,000'",71,63,8.1,7.5,83,"62,100",156,NA,NA,NA
,">13,000'",71,66,7.6,7,88.3,"8,006",21,NA,NA,NA
24. Southwestern Utah,"6,000-7,000'",0,0,0,0,0,0,965,0.0 ( 2 ),0.0 ( 2 ),NA
,"7,000-8,000'",2,1,0,0,0,2,275,0.0 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",4,6,0,0,3.6,245,130,0.0 ( 2 ),0.0 ( 2 ),0.0 ( 2 )
,"9,000-10,000'",16,21,0.4,0.4,15,"1,436",60,NA,NA,NA
,">10,000'",48,48,3.3,2.6,44.1,"1,498",11,5.5 ( 1 ),4.1 ( 1 ),NA
25. Toole Valley-Vernon Creek,"5,000-6,000'",NA,NA,0,0,0,0,555,NA,NA,NA
,"6,000-7,000'",170,69,0,0,0.1,24,191,0.0 ( 1 ),0.0 ( 1 ),NA
,"7,000-8,000'",106,40,0.5,0.1,2.2,596,107,0.0 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",85,62,2.9,1.6,20.4,"3,561",42,10.4 ( 2 ),8.1 ( 2 ),NA
,">9,000'",86,75,7,6.6,54.3,"4,185",12,NA,NA,NA
26. Upper Arkansas,"7,000-8,000'",0,0,0,0,0,0,"1,755",NA,NA,NA
,"8,000-9,000'",1,8,0,0,0,12,"1,501",NA,NA,NA
,"9,000-10,000'",11,13,0,0,0.3,782,"1,312",0.4 ( 1 ),0.1 ( 1 ),0.0 ( 1 )
