,,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,Elevation Band,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"7,000-8,000'",31,11,0.2,0,1.3,"1,398",656,0.8 ( 5 ),0.0 ( 5 )
,"8,000-9,000'",51,29,2.2,0.8,15.4,"16,123",394,9.1 ( 9 ),5.4 ( 9 )
,"9,000-10,000'",57,44,7.6,4.3,60.6,"46,494",202,16.8 ( 4 ),11.9 ( 4 )
,"10,000-11,000'",52,41,10.8,7.5,84.8,"18,675",47,NA,NA
,"11,000-12,000'",50,40,8,6.9,86.6,464,1,NA,NA
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,NA,0,0,0,0,"2,421",NA,NA
,"8,000-9,000'",1,2,0,0,0,2,"1,222",0.1 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",6,42,0,0.2,7.2,"6,999",844,0.3 ( 4 ),0.6 ( 4 )
,"10,000-11,000'",10,43,0.1,1,32.3,"28,405",532,0.1 ( 5 ),1.5 ( 5 )
,"11,000-12,000'",32,37,1.4,2.4,50.3,"20,219",161,6.0 ( 1 ),8.2 ( 1 )
,"12,000-13,000'",56,55,4.9,5.6,98.4,"7,932",26,NA,NA
18. Rio Grande Headwaters§,"7,000-8,000'",0,NA,0,0,0,0,"2,671",NA,NA
,"8,000-9,000'",4,14,0,0,0,5,"1,418",NA,NA
,"9,000-10,000'",10,70,0,0.2,6.1,"10,351","1,262",0.0 ( 3 ),0.1 ( 3 )
,"10,000-11,000'",16,55,0.3,1.2,29,"72,403","1,149",0.0 ( 5 ),0.7 ( 5 )
,"11,000-12,000'",43,53,3.4,4.2,71.8,"189,933",839,3.4 ( 5 ),3.5 ( 5 )
,"12,000-13,000'",56,50,6.3,6.1,90.3,"80,027",244,NA,NA
,"13,000-14,000'",57,51,6.7,6.6,91.4,"4,241",12,NA,NA
19. Roaring Fork§,"7,000-8,000'",24,6,0,0,0,4,197,NA,NA
,"8,000-9,000'",26,7,0.1,0,0.4,184,259,0.1 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",37,18,1.2,0.4,7.1,"5,477",269,0.9 ( 2 ),0.1 ( 2 )
,"10,000-11,000'",49,37,5.7,3.7,42.4,"52,045",266,12.9 ( 4 ),8.7 ( 4 )
,"11,000-12,000'",55,45,11.9,8.4,81.4,"113,817",254,NA,NA
,"12,000-13,000'",57,46,14.3,10.4,92.6,"60,584",109,NA,NA
,"13,000-14,000'",59,47,14,10.5,97,"3,574",6,NA,NA
20. Salt,"6,000-7,000'",NA,NA,0,0,0,0,"1,253",NA,NA
,"7,000-8,000'",0,0,0,0,0,0,510,0.0 ( 3 ),0.0 ( 3 )
,"8,000-9,000'",0,0,0,0,0,0,400,0.0 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",0,0,0,0,0,0,166,0.0 ( 2 ),0.0 ( 2 )
,">10,000'",7,4,0.1,0,0.5,36,31,NA,NA
21. San Juan,"7,000-8,000'",0,0,0,0,0,0,"3,746",NA,NA
,"8,000-9,000'",0,0,0,0,0,3,"1,064",0.1 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",4,21,0,0.1,5.4,"3,887",581,0.0 ( 4 ),0.0 ( 4 )
,"10,000-11,000'",25,44,1,1.6,40.8,"37,809",438,3.1 ( 8 ),2.8 ( 8 )
,"11,000-12,000'",49,46,5.4,4.7,75.6,"100,123",399,10.8 ( 2 ),10.0 ( 2 )
,"12,000-13,000'",57,45,9.4,7,84.8,"63,765",172,NA,NA
,"13,000-14,000'",57,45,11.2,8.5,89.1,"3,225",7,NA,NA
22. San Pitch,"5,000-6,000'",NA,NA,0,0,0,0,269,NA,NA
,"6,000-7,000'",0,0,0,0,0,0,217,NA,NA
,"7,000-8,000'",29,9,0.1,0,0.4,52,141,NA,NA
,"8,000-9,000'",41,23,1.2,0.3,8.5,"2,167",118,0.8 ( 4 ),0.0 ( 4 )
,"9,000-10,000'",56,43,5.7,3,48.9,"12,288",77,11.2 ( 1 ),5.5 ( 1 )
,"10,000-11,000'",57,46,9.7,6.8,88.3,"12,757",35,13.7 ( 1 ),8.3 ( 1 )
23. South Platte§,"7,000-8,000'",0,0,0,0,0,0,"1,416",NA,NA
,"8,000-9,000'",7,14,0,0,0.1,229,"1,466",0.7 ( 3 ),0.0 ( 3 )
,"9,000-10,000'",39,65,0.3,0.3,5.7,"22,911","1,435",9.2 ( 6 ),9.0 ( 6 )
,"10,000-11,000'",48,53,3.6,3.3,39.3,"119,436",686,11.8 ( 7 ),10.7 ( 7 )
,"11,000-12,000'",56,54,6.9,6.8,80.5,"158,321",439,13.8 ( 5 ),13.3 ( 5 )
,"12,000-13,000'",63,55,7.5,6.7,96.9,"55,255",156,NA,NA
,">13,000'",66,56,7,6.1,95.8,"6,992",21,NA,NA
24. Southwestern Utah,"6,000-7,000'",0,0,0,0,0,0,965,0.0 ( 2 ),0.0 ( 2 )
,"7,000-8,000'",1,0,0,0,0,0,275,0.0 ( 1 ),0.1 ( 1 )
,"8,000-9,000'",6,1,0,0,0.2,20,130,0.0 ( 2 ),0.0 ( 2 )
,"9,000-10,000'",21,11,0.4,0.2,6.3,486,60,NA,NA
,">10,000'",48,43,2.6,2.2,53.9,"1,259",11,4.1 ( 1 ),0.5 ( 1 )
25. Toole Valley-Vernon Creek,"5,000-6,000'",NA,NA,0,0,0,0,555,NA,NA
,"6,000-7,000'",69,0,0,0,0,0,191,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",40,20,0.1,0,0.9,159,107,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",62,43,1.6,0.7,13.3,"1,577",42,8.1 ( 2 ),5.0 ( 2 )
,">9,000'",75,67,6.6,3.9,42.3,"2,456",12,NA,NA
26. Upper Arkansas,"7,000-8,000'",0,,0,0,0,0,"1,755",NA,NA
,"8,000-9,000'",8,92,0,0,0,46,"1,501",NA,NA
,"9,000-10,000'",13,47,0,0,1.5,"2,726","1,312",0.1 ( 1 ),1.5 ( 1 )
,"10,000-11,000'",34,51,0.6,0.9,21.6,"28,665",586,0.9 ( 4 ),1.4 ( 4 )
,"11,000-12,000'",54,51,4.7,4.7,71,"108,321",433,2.8 ( 1 ),3.5 ( 1 )
,"12,000-13,000'",56,50,7.7,7.1,92.7,"93,807",248,NA,NA
,">13,000'",61,52,9.5,8.5,95,"18,125",40,NA,NA
27. Upper Colorado-Dirty Devil,"7,000-8,000'",0,0,0,0,0,0,"1,116",NA,NA
,"8,000-9,000'",2,0,0,0,0,8,785,0.0 ( 2 ),0.0 ( 2 )
,"9,000-10,000'",13,12,0.3,0.1,2.6,"2,652",428,0.1 ( 5 ),0.0 ( 5 )
,"10,000-11,000'",32,34,1.8,1.3,25.8,"14,344",209,NA,NA
,"11,000-12,000'",66,62,5,3.5,59.9,"10,662",58,NA,NA
28. Upper Colorado-Dolores§,"7,000-8,000'",0,0,0,0,0,0,"1,409",NA,NA
,"8,000-9,000'",5,4,0,0,0.1,154,"1,082",0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",9,19,0.1,0.2,5.9,"4,541",500,0.0 ( 3 ),0.0 ( 3 )
,"10,000-11,000'",34,39,2.5,2.8,34.4,"42,121",280,1.6 ( 4 ),0.6 ( 2 )
,"11,000-12,000'",50,45,9.9,8.3,72.2,"53,712",121,16.2 ( 1 ),16.8 ( 1 )
,"12,000-13,000'",54,43,11.9,8.7,91.1,"17,584",38,NA,NA
,"13,000-14,000'",49,39,13.2,9.5,93.2,"1,850",4,NA,NA
29. Upper Sevier,"6,000-7,000'",0,0,0,0,0,0,831,NA,NA
,"7,000-8,000'",8,2,0,0,0,12,"1,307",0.0 ( 2 ),0.0 ( 2 )
,"8,000-9,000'",12,4,0.1,0,0.3,443,928,0.0 ( 4 ),0.0 ( 4 )
,"9,000-10,000'",27,19,0.7,0.3,7.1,"8,868",521,3.4 ( 9 ),2.2 ( 9 )
,"10,000-11,000'",47,38,3.3,2,38,"17,482",161,0.1 ( 1 ),0.1 ( 1 )
,"11,000-12,000'",54,44,7.5,5.6,85.1,"2,811",9,NA,NA
30. Verde,"6,000-7,000'",NA,NA,0,0,0,0,"1,299",0.4 ( 1 ),0.4 ( 1 )
,"7,000-8,000'",15,0,0,0,0,0,496,0.1 ( 6 ),0.1 ( 6 )
,"8,000-9,000'",12,0,0,0,0,0,18,NA,NA
,"9,000-10,000'",15,38,0.2,0.2,6.4,19,2,NA,NA
,">10,000'",45,42,2.8,1.8,35.4,118,1,NA,NA
31. Weber-Ogden,"5,000-6,000'",12,10,0,0,0,2,288,NA,NA
,"6,000-7,000'",16,8,0,0,0.1,78,712,0.0 ( 3 ),0.0 ( 3 )
,"7,000-8,000'",27,14,0.3,0.1,2.3,"3,021",675,6.5 ( 7 ),2.8 ( 7 )
,"8,000-9,000'",54,33,3.4,1.1,21.4,"14,362",234,7.0 ( 5 ),2.5 ( 5 )
,"9,000-10,000'",60,49,8.2,4.8,65,"24,461",96,13.1 ( 2 ),7.2 ( 2 )
,">10,000'",59,48,11.4,7.8,87.5,"14,621",35,NA,NA
32. White-Yampa§,"7,000-8,000'",8,11,0,0,0.1,565,"3,360",0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",47,25,1.3,0.3,6,"25,185","1,446",6.3 ( 6 ),1.7 ( 6 )
,"9,000-10,000'",64,49,8.5,4.6,50.2,"170,645",700,10.3 ( 6 ),6.1 ( 6 )
,"10,000-11,000'",59,48,13.1,8.7,78.5,"168,519",362,31.8 ( 2 ),26.2 ( 2 )
,">11,000'",60,47,15,10.5,90.9,"44,692",80,NA,NA
