,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
15. Sweetwater,"7,000-8,000'",37,1.8,25.1,"90,582",952.6,NA,NA,0
15. Sweetwater,"8,000-9,000'",79,5.1,71.1,"51,060",189,4.0 ( 1 ),6.1 ( 1 ),1.6
15. Sweetwater,"9,000-10,000'",104,6.9,83.8,"15,757",43,NA,NA,5.8
15. Sweetwater,"10,000-11,000'",122,10.2,81.4,"5,838",10.7,NA,NA,9.6
15. Sweetwater,"11,000-12,000'",125,12.2,83.3,"3,710",5.7,NA,NA,9.9
15. Sweetwater,"12,000-13,000'",120,12.7,97,131,0.2,NA,NA,10.2
16. Tongue,"2,000-3,000'",0,0,0,0,881.3,NA,NA,0
16. Tongue,"3,000-4,000'",0,0,5,889,"2,790.20",NA,NA,0
16. Tongue,"4,000-5,000'",0,0,3.4,"1,703","1,214.80",NA,NA,0
16. Tongue,"5,000-6,000'",4,0.4,13,986,49.2,NA,NA,0
16. Tongue,"6,000-7,000'",25,1.2,27.1,"2,161",34.1,NA,NA,0
16. Tongue,"7,000-8,000'",65,3.5,56.9,"22,501",121.5,2.2 ( 2 ),NA,1
16. Tongue,"8,000-9,000'",62,3.3,46.3,"30,453",173.6,3.8 ( 4 ),4.0 ( 2 ),4.1
16. Tongue,"9,000-10,000'",86,6.2,64.4,"38,069",115.6,NA,6.8 ( 1 ),7.5
16. Tongue,"10,000-11,000'",110,9.7,77.5,"11,955",23.1,NA,NA,9.3
16. Tongue,"11,000-12,000'",116,10.9,83.9,"1,067",1.8,NA,NA,10
17. Upper Clark Fork,"3,000-4,000'",26,0.9,14.5,"7,730",157.3,NA,NA,0.5
17. Upper Clark Fork,"4,000-5,000'",31,1.2,21,"93,890","1,442.30",NA,1.7 ( 4 ),1
17. Upper Clark Fork,"5,000-6,000'",40,1.9,24,"200,013","2,001.20",2.2 ( 3 ),0.8 ( 1 ),1.6
17. Upper Clark Fork,"6,000-7,000'",90,4.1,44.8,"340,867","1,576.10",11.1 ( 4 ),2.8 ( 3 ),4.8
17. Upper Clark Fork,"7,000-8,000'",134,6.6,58.9,"232,462",664.7,7.2 ( 3 ),5.1 ( 5 ),9
17. Upper Clark Fork,"8,000-9,000'",142,9.2,69.6,"71,854",147,10.1 ( 2 ),NA,9
17. Upper Clark Fork,"9,000-10,000'",136,11,71,"10,630",18.1,NA,NA,8.1
17. Upper Clark Fork,">10,000'",136,11.2,68.5,115,0.2,NA,NA,4.9
18. Upper Green,"7,000-8,000'",42,2.3,27.7,"790,299","6,387.90",7.4 ( 2 ),NA,0.8
18. Upper Green,"8,000-9,000'",73,5.3,58.5,"449,620","1,592.70",9.1 ( 8 ),10.9 ( 1 ),5.1
18. Upper Green,"9,000-10,000'",94,7.5,67.7,"359,309",901,7.0 ( 9 ),NA,7.8
18. Upper Green,"10,000-11,000'",102,9.5,68.4,"240,974",473.5,7.1 ( 2 ),NA,10.5
18. Upper Green,"11,000-12,000'",104,11.6,81.1,"120,416",194.1,NA,NA,9.9
18. Upper Green,"12,000-13,000'",95,11,80.9,"19,900",34.1,NA,NA,6.9
18. Upper Green,"13,000-14,000'",137,16.1,92.1,415,0.5,NA,NA,9.6
19. Upper Missouri,"4,000-5,000'",1,0,0.4,"1,215","1,182.20",NA,NA,0
19. Upper Missouri,"5,000-6,000'",7,0.3,4.6,"18,103","1,057.70",NA,NA,0.2
19. Upper Missouri,"6,000-7,000'",55,3,36.1,"89,030",556.4,3.4 ( 1 ),1.9 ( 2 ),0.8
19. Upper Missouri,"7,000-8,000'",94,4.9,52.1,"35,231",135.1,4.2 ( 1 ),4.5 ( 1 ),2.6
19. Upper Missouri,"8,000-9,000'",132,8.3,69.9,"10,631",23.9,NA,NA,5.9
19. Upper Missouri,">9,000'",153,11.2,67,520,0.9,NA,NA,9.7
20. Upper No Platte,"7,000-8,000'",21,1,13.4,"212,326","4,078.60",3.9 ( 1 ),NA,0.1
20. Upper No Platte,"8,000-9,000'",54,3.5,53.5,"389,971","2,114.90",4.0 ( 2 ),4.2 ( 1 ),2.4
20. Upper No Platte,"9,000-10,000'",58,3.9,61.9,"197,257",945.5,9.6 ( 8 ),5.7 ( 6 ),6.4
20. Upper No Platte,"10,000-11,000'",62,5.4,62.8,"112,969",394.1,13.7 ( 6 ),12.7 ( 2 ),9.7
20. Upper No Platte,"11,000-12,000'",78,8.4,82.4,"24,487",54.9,NA,NA,7.1
20. Upper No Platte,"12,000-13,000'",86,9,83.5,"1,015",2.1,NA,NA,2.7
21. Upper Shoshone,"5,000-6,000'",0,0,0,0,101.7,NA,NA,0
21. Upper Shoshone,"6,000-7,000'",14,0.3,5.4,"3,754",206.7,NA,NA,0.2
21. Upper Shoshone,"7,000-8,000'",63,2.5,31.7,"37,435",280.5,6.7 ( 1 ),NA,2.6
21. Upper Shoshone,"8,000-9,000'",108,5.8,58,"101,600",330.1,6.4 ( 2 ),NA,8
21. Upper Shoshone,"9,000-10,000'",135,9.4,70.3,"167,334",333.2,NA,NA,11.8
21. Upper Shoshone,"10,000-11,000'",134,12,79.2,"131,055",204.2,16.0 ( 1 ),NA,11.2
21. Upper Shoshone,"11,000-12,000'",130,12.8,81.4,"33,535",48.9,NA,NA,8.3
22. Upper Snake Basins,"4,000-5,000'",1,0.1,12,"4,030",919.5,NA,NA,0.1
22. Upper Snake Basins,"5,000-6,000'",28,1.5,43.5,"151,791","1,919.80",NA,NA,0.7
22. Upper Snake Basins,"6,000-7,000'",60,4.1,72.9,"634,804","2,908.40",4.7 ( 6 ),5.3 ( 6 ),3.4
22. Upper Snake Basins,"7,000-8,000'",88,6.2,72,"271,473",823.2,9.7 ( 4 ),7.9 ( 4 ),7.9
22. Upper Snake Basins,"8,000-9,000'",131,11.4,78.7,"200,554",329.4,NA,11.9 ( 3 ),18.5
22. Upper Snake Basins,"9,000-10,000'",146,15.5,87.3,"54,816",66.3,24.7 ( 1 ),NA,23.4
22. Upper Snake Basins,"10,000-11,000'",147,17.8,87.3,"7,423",7.8,NA,NA,28.9
23. Upper Yellowstone,"4,000-5,000'",0,0,0.2,965,"3,428.40",NA,NA,0
23. Upper Yellowstone,"5,000-6,000'",2,0.1,2.3,"9,788","1,793.50",0.6 ( 1 ),NA,0
23. Upper Yellowstone,"6,000-7,000'",40,2,28.3,"109,033","1,036.50",3.0 ( 4 ),NA,1.2
23. Upper Yellowstone,"7,000-8,000'",81,4.4,53.5,"358,748","1,514.30",7.5 ( 6 ),5.3 ( 1 ),6
23. Upper Yellowstone,"8,000-9,000'",132,7.8,70.1,"771,409","1,850.20",13.9 ( 6 ),4.8 ( 1 ),10.7
23. Upper Yellowstone,"9,000-10,000'",148,11.4,77.4,"714,453","1,177.70",19.9 ( 3 ),NA,14.6
23. Upper Yellowstone,"10,000-11,000'",143,13.2,80,"259,911",368.6,NA,NA,15.2
23. Upper Yellowstone,"11,000-12,000'",143,14,75.6,"46,577",62.3,NA,NA,12.3
23. Upper Yellowstone,"12,000-13,000'",146,14,75.9,"1,084",1.4,NA,NA,7.6
24. Wind,"4,000-5,000'",0,0,0.1,5,354.7,NA,NA,0
24. Wind,"5,000-6,000'",0,0,0.3,817,"3,030.20",NA,NA,0
24. Wind,"6,000-7,000'",5,0.1,2.4,"11,324","1,717.90",NA,NA,0
24. Wind,"7,000-8,000'",35,1.3,14.8,"49,788",738.1,NA,3.0 ( 3 ),0.3
24. Wind,"8,000-9,000'",83,4.5,57,"137,745",578.7,3.9 ( 4 ),3.1 ( 2 ),2.5
24. Wind,"9,000-10,000'",104,6.8,69.5,"214,083",592.4,9.2 ( 5 ),6.0 ( 2 ),7.1
24. Wind,"10,000-11,000'",123,10.1,79.3,"260,556",482,8.7 ( 1 ),NA,10.1
24. Wind,"11,000-12,000'",127,12,81,"145,758",227.4,NA,NA,10.8
24. Wind,"12,000-13,000'",126,14,85.6,"20,603",27.6,NA,NA,10.5
24. Wind,"13,000-14,000'",125,15.7,95.5,890,1.1,NA,NA,10.6
25. Wood and Lost Basins,"5,000-6,000'",4,0.2,2.9,"32,583","2,760.00",1.6 ( 2 ),2.6 ( 1 ),0.2
25. Wood and Lost Basins,"6,000-7,000'",63,4,50.2,"390,976","1,847.10",4.2 ( 4 ),3.4 ( 2 ),1.8
25. Wood and Lost Basins,"7,000-8,000'",84,5.9,75.2,"440,198","1,388.10",9.3 ( 6 ),NA,4.7
25. Wood and Lost Basins,"8,000-9,000'",95,7.6,85.6,"351,756",864.9,11.7 ( 3 ),12.6 ( 1 ),7
25. Wood and Lost Basins,"9,000-10,000'",106,10,86.3,"233,991",436.9,16.2 ( 1 ),NA,9
25. Wood and Lost Basins,"10,000-11,000'",108,11,78.6,"66,322",113.3,NA,NA,8.5
25. Wood and Lost Basins,"11,000-12,000'",114,12,77.7,"6,284",9.8,NA,NA,6.6
