,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
33. Southern Snake Basins,"5,000-6,000'",0,0,0,0,0,0,"8,155.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
33. Southern Snake Basins,"6,000-7,000'",0,0,0,0,0,150,"3,288.10",0.0 ( 5 ),0.0 ( 5 ),0.0 ( 4 ),0
33. Southern Snake Basins,"7,000-8,000'",7,2,0.6,0.2,1.9,"8,173",905.4,0.5 ( 4 ),0.2 ( 4 ),1.4 ( 4 ),0.1
33. Southern Snake Basins,"8,000-9,000'",42,25,5.6,3.6,35,"32,560",168.8,10.3 ( 3 ),7.9 ( 3 ),8.6 ( 1 ),4.1
33. Southern Snake Basins,"9,000-10,000'",65,52,10.9,9.5,61.7,"16,693",33.1,NA,NA,NA,11.6
33. Southern Snake Basins,"10,000-11,000'",77,62,13.4,11.6,51.5,778,1.3,NA,NA,NA,20.3
34. Spokane,"3,000-4,000'",63,19,0.8,0.2,2.3,"14,721","1,667.20",2.8 ( 1 ),0.0 ( 1 ),1.4 ( 5 ),0.9
34. Spokane,"4,000-5,000'",95,75,3.9,3.1,28.7,"166,677","1,010.00",9.3 ( 5 ),8.2 ( 5 ),16.1 ( 2 ),8.4
34. Spokane,"5,000-6,000'",154,124,11.8,11.2,67.5,"250,031",418,16.4 ( 2 ),15.8 ( 2 ),1.5 ( 1 ),21.3
34. Spokane,"6,000-7,000'",203,151,20.2,19.3,90.5,"48,853",47.4,NA,NA,NA,31
34. Spokane,"7,000-8,000'",173,133,23.8,22,74,226,0.2,NA,NA,NA,39.6
35. St. Mary,"4,000-5,000'",103,78,5.1,3.6,40.9,"35,659",184.7,0.7 ( 1 ),0.5 ( 1 ),NA,0.6
35. St. Mary,"5,000-6,000'",100,96,8.4,8,66,"89,896",210.7,NA,NA,NA,5.3
35. St. Mary,"6,000-7,000'",137,133,15.3,15.7,81.3,"129,307",154.2,NA,NA,NA,18.2
35. St. Mary,"7,000-8,000'",157,149,18,18.9,83.3,"99,231",98.3,NA,NA,NA,15.4
35. St. Mary,">8,000'",176,169,19,20.7,80.6,"22,353",20.3,NA,NA,NA,14.8
36. Truckee,"5,000-6,000'",0,0,0,0,0,0,688.2,NA,NA,NA,0
36. Truckee,"6,000-7,000'",6,1,0.5,0.1,1.4,"2,101",484.5,4.9 ( 5 ),3.5 ( 5 ),NA,0.2
36. Truckee,"7,000-8,000'",21,8,3.5,1.4,20.7,"14,709",195.9,2.9 ( 1 ),0.3 ( 1 ),NA,2.1
36. Truckee,"8,000-9,000'",32,16,7.3,3.9,49.1,"12,604",59.9,13.2 ( 3 ),8.8 ( 3 ),NA,8.7
36. Truckee,"9,000-10,000'",36,20,9.2,5.8,69.4,"4,393",14.2,NA,NA,15.0 ( 1 ),16.7
36. Truckee,"10,000-11,000'",38,20,9.8,6.1,45.2,281,0.9,NA,NA,NA,21.2
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",1,0,0,0,0,0,892.5,0.0 ( 1 ),0.0 ( 1 ),NA,0
37. Umatilla-Walla Walla-Willow,"4,000-5,000'",14,7,0.6,0.2,3.9,"6,256",472.7,3.8 ( 2 ),3.0 ( 2 ),NA,0.6
37. Umatilla-Walla Walla-Willow,"5,000-6,000'",47,38,5.3,4.4,44.7,"16,161",69.1,11.2 ( 3 ),10.1 ( 3 ),NA,5.1
38. Upper Humboldt,"5,000-6,000'",0,0,0,0,0,0,"2,395.90",NA,NA,0.0 ( 1 ),0
