,,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,Elevation Band,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
18. Rio Grande Headwaters,"10,000-11,000'",30,42,1.9,2.9,46.3,"177,987","1,141.30",4.5 ( 8 ),5.5 ( 8 ),4.9
18. Rio Grande Headwaters,"11,000-12,000'",54,66,5,6.5,75.4,"290,987",839.3,5.3 ( 4 ),6.9 ( 4 ),6.4
18. Rio Grande Headwaters,"12,000-13,000'",61,67,6.9,8.2,86.2,"108,164",248.2,NA,NA,6.1
18. Rio Grande Headwaters,"13,000-14,000'",65,62,7.3,7.8,85.5,"4,608",11.1,NA,NA,3.9
19. Roaring Fork,"7,000-8,000'",15,15,1,1.1,26.9,"11,784",196.1,NA,NA,1.7
19. Roaring Fork,"8,000-9,000'",34,34,2.7,3,56.6,"42,113",262,3.9 ( 1 ),4.4 ( 1 ),5
19. Roaring Fork,"9,000-10,000'",40,46,3.3,4.2,62.5,"60,018",267.9,5.7 ( 2 ),7.6 ( 2 ),6.8
19. Roaring Fork,"10,000-11,000'",41,49,4,5.3,62,"74,787",263.2,7.3 ( 4 ),9.1 ( 4 ),8.1
19. Roaring Fork,"11,000-12,000'",56,67,7.6,9.8,91.1,"131,811",251.7,NA,NA,8.7
19. Roaring Fork,"12,000-13,000'",58,69,8.8,11.2,93.8,"67,626",113.1,NA,NA,7.4
19. Roaring Fork,"13,000-14,000'",62,70,10,11.9,92,"3,987",6.3,NA,NA,5.4
20. Salt§,"6,000-7,000'",0,0,0,0,0,0,"1,239.40",NA,NA,0.2
20. Salt§,"7,000-8,000'",0,1,0,0,0.7,337,514.8,0.2 ( 3 ),1.4 ( 3 ),0.5
20. Salt§,"8,000-9,000'",7,24,0.2,0.5,33.2,"10,155",404,2.1 ( 2 ),2.5 ( 2 ),0.7
20. Salt§,"9,000-10,000'",16,35,0.6,1.2,56.5,"10,717",171,1.4 ( 2 ),1.7 ( 2 ),1.7
20. Salt§,">10,000'",19,49,1.2,3.5,38.9,"5,813",31.5,NA,NA,3.7
21. San Juan**,"7,000-8,000'",0,9,0,0.2,13.9,"37,839","3,769.40",NA,NA,0.4
21. San Juan**,"8,000-9,000'",4,14,0.2,0.7,21.4,"36,807","1,062.20",2.2 ( 2 ),4.5 ( 2 ),1.8
21. San Juan**,"9,000-10,000'",14,35,0.9,2.3,45,"71,434",572.5,2.3 ( 3 ),4.3 ( 4 ),5
21. San Juan**,"10,000-11,000'",33,58,2.9,5.3,66.3,"127,324",449.3,6.8 ( 7 ),9.9 ( 7 ),8.1
21. San Juan**,"11,000-12,000'",55,73,6.4,8.8,87.4,"183,482",390,7.2 ( 3 ),9.9 ( 3 ),9.4
21. San Juan**,"12,000-13,000'",60,73,8.2,10.4,92.3,"97,199",175.1,NA,NA,8.7
21. San Juan**,"13,000-14,000'",64,72,9.3,11.2,92.5,"4,185",7.1,NA,NA,6.4
22. San Pitch,"5,000-6,000'",0,0,0,0,0,21,273.8,NA,NA,0.3
22. San Pitch,"6,000-7,000'",0,0,0,0,1,297,213.6,NA,NA,0.7
22. San Pitch,"7,000-8,000'",3,11,0.2,0.8,16.9,"6,080",143.1,NA,NA,1.9
22. San Pitch,"8,000-9,000'",35,52,3,4.7,58.3,"29,485",117.4,4.2 ( 4 ),5.6 ( 4 ),4.5
22. San Pitch,"9,000-10,000'",59,78,6.7,9.5,87,"38,984",76.5,8.2 ( 1 ),11.6 ( 1 ),6.7
22. San Pitch,"10,000-11,000'",58,76,8.1,11.2,90.3,"20,942",34.9,7.5 ( 1 ),8.6 ( 1 ),7.9
23. South Platte,"7,000-8,000'",0,0,0,0,0,78,"1,420.90",NA,NA,0
23. South Platte,"8,000-9,000'",2,3,0.1,0.1,2,"7,086","1,477.20",1.4 ( 3 ),1.6 ( 3 ),0.2
23. South Platte,"9,000-10,000'",10,12,0.4,0.5,8.2,"40,964","1,441.70",6.5 ( 6 ),7.4 ( 6 ),1.2
23. South Platte,"10,000-11,000'",28,34,1.7,2.2,26.7,"81,433",686.3,5.4 ( 8 ),6.2 ( 8 ),4.2
23. South Platte,"11,000-12,000'",50,59,4.6,6,59.2,"141,948",444.3,4.6 ( 4 ),5.2 ( 4 ),4.8
23. South Platte,"12,000-13,000'",53,60,5.8,7.2,60.2,"57,502",149.1,NA,NA,4.4
23. South Platte,">13,000'",51,56,6,7.2,50.3,"8,645",22.4,NA,NA,2.7
24. Southwestern Utah,"6,000-7,000'",0,10,0,0.4,28.2,"22,991",975.6,0.0 ( 2 ),2.3 ( 2 ),1.2
24. Southwestern Utah,"7,000-8,000'",0,11,0,0.4,18,"5,642",265.8,0.1 ( 1 ),2.1 ( 1 ),1.5
24. Southwestern Utah,"8,000-9,000'",8,27,0.4,1.3,26.8,"9,506",134.1,0.8 ( 2 ),3.6 ( 2 ),3.3
24. Southwestern Utah,"9,000-10,000'",50,79,3.7,5.9,70,"19,102",60.4,NA,NA,6.7
24. Southwestern Utah,">10,000'",60,89,5.4,8.3,78.4,"4,849",11,6.7 ( 1 ),10.9 ( 1 ),8.2
