,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
15. Upper Yakima,"5,000-6,000'",77,78,15.1,15,71.1,"129,757",161.7,3.2 ( 1 ),0.5 ( 1 ),NA,20.7
15. Upper Yakima,"6,000-7,000'",89,96,24.7,25,79,"27,303",20.5,NA,NA,NA,37.6
15. Upper Yakima,"7,000-8,000'",77,95,46.7,46.7,89.1,"1,682",0.7,NA,NA,NA,74.8
16. Willamette,"0-1,000'",NA,NA,0,0,0,0,"5,006.40",0.0 ( 1 ),0.0 ( 1 ),NA,0
16. Willamette,"1,000-2,000'",0,0,0,0,0,0,"2,005.80",0.1 ( 1 ),0.0 ( 1 ),NA,0
16. Willamette,"2,000-3,000'",1,0,0,0,0.1,82,"1,614.10",0.0 ( 2 ),0.0 ( 2 ),NA,0
16. Willamette,"3,000-4,000'",4,2,0.1,0,0.6,"3,492","1,472.90",0.1 ( 7 ),0.1 ( 7 ),NA,0.2
16. Willamette,"4,000-5,000'",13,9,0.9,0.6,5.2,"26,877",879.1,2.6 ( 7 ),0.9 ( 7 ),NA,1.8
16. Willamette,"5,000-6,000'",29,26,4.5,4,25.7,"87,708",410.8,NA,NA,NA,2.7
16. Willamette,"6,000-7,000'",50,51,13.8,13.1,56.6,"48,054",68.9,NA,NA,NA,11.6
16. Willamette,"7,000-8,000'",60,66,28.6,27.3,79.2,"13,351",9.2,NA,NA,NA,24.3
16. Willamette,"8,000-9,000'",55,64,39.5,38.4,82.1,"6,122",3,NA,NA,NA,25.9
16. Willamette,"9,000-10,000'",56,65,36,36.3,76.6,"1,497",0.8,NA,NA,NA,29.3
