,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
13. John Day,"5,000-6,000'",11,11,0.7,0.7,10.6,"45,621","1,202.60",2.5 ( 3 ),2.7 ( 3 ),NA,1.3
13. John Day,"6,000-7,000'",45,50,4.3,5.2,50.1,"68,939",247.5,NA,NA,NA,3.6
13. John Day,"7,000-8,000'",84,87,11.1,12.2,82.4,"34,585",53,NA,NA,NA,5.9
13. John Day,"8,000-9,000'",94,94,12.4,13.3,76.5,"1,167",1.6,NA,NA,NA,7.8
14. Kootenai,"4,000-5,000'",47,48,1.2,1.5,16.3,"72,505",880.8,6.2 ( 2 ),6.3 ( 2 ),NA,5.5
14. Kootenai,"5,000-6,000'",105,100,4.9,5.7,40.7,"184,553",611.9,18.0 ( 3 ),19.4 ( 3 ),19.6 ( 1 ),13.1
14. Kootenai,"6,000-7,000'",185,179,11.8,13.1,73.7,"119,841",172.1,28.1 ( 1 ),28.7 ( 1 ),10.1 ( 1 ),25.3
14. Kootenai,">7,000'",200,201,17.1,18.7,92.8,"7,035",7,NA,NA,NA,31.8
15. Lake County-Goose Lake,"5,000-6,000'",9,8,0.4,0.3,8.1,"49,299","2,708.10",1.1 ( 1 ),0.0 ( 1 ),NA,0.1
15. Lake County-Goose Lake,"6,000-7,000'",35,34,3.2,3.3,42.4,"140,815",801.6,NA,NA,NA,0.9
15. Lake County-Goose Lake,"7,000-8,000'",60,59,7.7,8.1,75.9,"47,995",111.4,10.5 ( 1 ),11.6 ( 1 ),NA,5.2
15. Lake County-Goose Lake,"8,000-9,000'",68,69,11,11.6,90.7,"1,550",2.5,NA,NA,NA,8.1
16. Little Humboldt,"6,000-7,000'",5,4,0.3,0.3,6.2,"4,890",326.8,2.6 ( 2 ),1.4 ( 2 ),NA,0.1
16. Little Humboldt,"7,000-8,000'",34,31,3.4,3.4,39.1,"15,147",84.7,NA,NA,NA,0.8
16. Little Humboldt,"8,000-9,000'",57,53,7.3,7.4,73.9,"3,452",8.8,4.9 ( 1 ),5.9 ( 1 ),NA,2.3
16. Little Humboldt,"9,000-10,000'",73,70,9.6,10.1,65.4,259,0.5,NA,NA,NA,3.5
17. Lower Clark Fork,"5,000-6,000'",125,130,5.6,6.6,55.3,"385,071","1,098.30",26.0 ( 1 ),27.4 ( 1 ),13.8 ( 2 ),11.9
17. Lower Clark Fork,"6,000-7,000'",179,178,11,12.4,84.5,"230,469",348.7,29.9 ( 1 ),32.2 ( 1 ),19.1 ( 1 ),19.2
17. Lower Clark Fork,"7,000-8,000'",222,216,15.5,16.6,91.1,"24,026",27.1,27.5 ( 1 ),29.5 ( 1 ),NA,28.4
17. Lower Clark Fork,"8,000-9,000'",251,226,16,16.5,91.8,510,0.6,NA,NA,NA,31
18. Lower Humboldt,"6,000-7,000'",3,2,0.1,0.1,2.7,"1,020",207.6,1.1 ( 1 ),0.0 ( 1 ),NA,0
18. Lower Humboldt,"7,000-8,000'",12,12,0.8,0.8,11.7,"2,125",48.6,NA,NA,NA,0
18. Lower Humboldt,"8,000-9,000'",33,36,3.1,3.7,37.9,"3,144",15.9,NA,NA,NA,0.1
18. Lower Humboldt,"9,000-10,000'",74,73,9,9.6,78.6,248,0.5,NA,NA,NA,0
19. Lower Pend Oreille,"5,000-6,000'",104,117,6.3,7.7,60.2,"44,901",109.3,11.5 ( 1 ),12.4 ( 1 ),NA,15.3
19. Lower Pend Oreille,">6,000'",131,139,12.3,13.6,86.6,"17,553",24.1,NA,NA,NA,20.6
20. Lower Snake-Asotin,"3,000-4,000'",82,61,1,0.7,26.5,"7,672",192.5,0.2 ( 1 ),0.6 ( 1 ),NA,0.1
20. Lower Snake-Asotin,"4,000-5,000'",67,63,3.4,3.3,59.1,"17,869",102.1,NA,NA,NA,2
20. Lower Snake-Asotin,"5,000-6,000'",66,63,6.1,6.4,87.5,"12,760",37.5,NA,5.5 ( 1 ),NA,8
20. Lower Snake-Asotin,"6,000-7,000'",65,67,8.1,9,98.9,790,1.6,NA,NA,NA,16.3
