,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
23. South Platte,"9,000-10,000'",12,14,0.5,0.6,8.8,"49,282","1,441.70",7.4 ( 6 ),8.8 ( 6 ),0.8 ( 4 ),1.1
23. South Platte,"10,000-11,000'",34,39,2.2,2.8,29,"103,034",686.3,6.2 ( 8 ),7.0 ( 8 ),3.0 ( 3 ),4.4
23. South Platte,"11,000-12,000'",59,66,6,7.1,61.2,"168,518",444.3,5.2 ( 4 ),6.2 ( 4 ),3.3 ( 3 ),4.7
23. South Platte,"12,000-13,000'",60,66,7.2,8.4,69.7,"66,863",149.1,NA,NA,NA,4
23. South Platte,">13,000'",56,63,7.2,8.4,61.4,"9,985",22.4,NA,NA,NA,2.2
24. Southwestern Utah,"6,000-7,000'",10,2,0.4,0.2,34.2,"10,768",975.6,2.3 ( 2 ),0.5 ( 2 ),NA,0
24. Southwestern Utah,"7,000-8,000'",11,14,0.4,0.5,49.5,"6,508",265.8,2.1 ( 1 ),0.0 ( 1 ),NA,0.1
24. Southwestern Utah,"8,000-9,000'",27,42,1.3,2.1,69.8,"15,336",134.1,3.6 ( 2 ),2.3 ( 2 ),0.0 ( 1 ),1.9
24. Southwestern Utah,"9,000-10,000'",79,73,5.9,6.1,82.8,"19,816",60.4,NA,NA,4.2 ( 1 ),5.4
24. Southwestern Utah,">10,000'",89,80,8.3,8.5,82.7,"4,978",11,10.9 ( 1 ),10.8 ( 1 ),NA,6.9
25. Toole Valley-Vernon Creek,"5,000-6,000'",12,13,0.2,0.3,12.7,"10,169",559,NA,NA,NA,0
25. Toole Valley-Vernon Creek,"6,000-7,000'",18,34,0.9,1.7,43.7,"16,865",185.4,1.2 ( 1 ),0.0 ( 1 ),NA,0.1
25. Toole Valley-Vernon Creek,"7,000-8,000'",23,37,1.7,2.9,41.6,"16,340",104.6,1.5 ( 1 ),0.0 ( 1 ),NA,1.4
25. Toole Valley-Vernon Creek,"8,000-9,000'",51,57,5.3,6.4,70.6,"14,120",41.6,5.9 ( 1 ),7.3 ( 1 ),NA,5.3
