,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
12. Merced§,"9,000-10,000'",38,22,9.8,6.6,72.4,"29,477",84.1,NA,NA,NA,19.2
12. Merced§,"10,000-11,000'",39,23,11.7,8.4,67.9,"17,803",39.7,NA,NA,15.5 ( 1 ),21
12. Merced§,"11,000-12,000'",38,23,13.7,8.8,68.9,"5,191",11.1,NA,NA,NA,19.8
12. Merced§,"12,000-13,000'",42,24,17.3,11.2,82.9,810,1.4,NA,NA,NA,20.6
13. San Joaquin,"5,000-6,000'",0,0,0,0,0,0,137.2,NA,NA,NA,0
13. San Joaquin,"6,000-7,000'",3,0,0.3,0,0.3,112,177.6,4.7 ( 3 ),0.9 ( 3 ),2.6 ( 3 ),0.2
13. San Joaquin,"7,000-8,000'",24,6,4,1,15.1,"11,560",214.2,7.7 ( 3 ),4.3 ( 3 ),4.0 ( 7 ),2.4
13. San Joaquin,"8,000-9,000'",35,17,7,3.7,52.1,"38,504",195.3,NA,NA,10.5 ( 4 ),10.1
13. San Joaquin,"9,000-10,000'",39,22,9.3,5.9,70.1,"63,456",201.4,17.5 ( 1 ),8.5 ( 1 ),12.2 ( 4 ),15.1
13. San Joaquin,"10,000-11,000'",43,25,11.6,8,74.8,"67,482",157.5,NA,NA,18.1 ( 5 ),13.3
13. San Joaquin,"11,000-12,000'",43,25,12.6,8.9,71.5,"54,543",114.6,NA,NA,16.5 ( 3 ),12.1
13. San Joaquin,"12,000-13,000'",47,27,14.6,10.6,69.3,"14,801",26.2,NA,NA,NA,8.8
13. San Joaquin,"13,000-14,000'",50,29,15.2,11.8,71.3,910,1.4,NA,NA,NA,5.3
14. Kings§,"5,000-6,000'",0,0,0,0,0,0,95.6,NA,NA,NA,0
14. Kings§,"6,000-7,000'",1,0,0,0,0,0,128.5,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0.1
14. Kings§,"7,000-8,000'",15,4,1.7,0.2,7.2,"1,618",168.2,NA,NA,1.2 ( 3 ),1.8
14. Kings§,"8,000-9,000'",33,15,6.8,2.2,42.2,"24,924",212.7,2.9 ( 1 ),0.0 ( 1 ),12.8 ( 8 ),9.1
14. Kings§,"9,000-10,000'",41,23,10.1,5.4,66.6,"62,859",216.8,24.8 ( 2 ),19.2 ( 2 ),15.0 ( 4 ),12.8
14. Kings§,"10,000-11,000'",45,26,11.9,9.3,73.4,"97,761",196.9,17.1 ( 2 ),12.7 ( 2 ),17.9 ( 5 ),12.7
14. Kings§,"11,000-12,000'",47,27,12.7,12.4,69.4,"98,122",147.8,NA,NA,21.5 ( 1 ),12.7
14. Kings§,"12,000-13,000'",49,28,12.9,13.5,66.8,"31,809",44.1,NA,NA,NA,10.7
14. Kings§,"13,000-14,000'",53,29,14.2,12.8,64.2,"1,911",2.8,NA,NA,NA,6.7
15. Kaweah,"5,000-6,000'",0,0,0,0,0,0,55.5,NA,NA,NA,0
15. Kaweah,"6,000-7,000'",0,0,0,0,0,0,59.5,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0.1
15. Kaweah,"7,000-8,000'",6,0,0.7,0.1,0.9,183,60.1,NA,NA,NA,0.9
15. Kaweah,"8,000-9,000'",25,10,4.8,2,27,"6,019",56.8,NA,NA,6.0 ( 3 ),4
15. Kaweah,"9,000-10,000'",39,20,9.2,5.2,55.9,"12,054",43.4,NA,NA,10.5 ( 1 ),6.7
15. Kaweah,"10,000-11,000'",42,25,11.8,8,67.5,"12,747",29.8,NA,NA,NA,9.2
15. Kaweah,">11,000'",44,26,13.1,9.6,67.1,"4,740",9.3,NA,NA,NA,11.9
16. Tule,"5,000-6,000'",0,0,0,0,0,0,51.6,NA,NA,NA,0
16. Tule,"6,000-7,000'",0,0,0,0,0,0,40,NA,NA,0.0 ( 1 ),0
16. Tule,"7,000-8,000'",0,0,0.1,0,0,0,26.8,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0.2
16. Tule,"8,000-9,000'",10,2,1.9,0.3,4.7,274,15.2,NA,NA,NA,0.3
16. Tule,"9,000-10,000'",36,18,8.6,4.6,50.5,993,4.1,NA,NA,NA,1
17. Kern,"5,000-6,000'",0,0,0,0,0,0,246.2,NA,NA,NA,0
17. Kern,"6,000-7,000'",0,0,0,0,0,0,341.5,NA,NA,NA,0
17. Kern,"7,000-8,000'",1,0,0.1,0,0.1,129,326.6,0.0 ( 1 ),0.0 ( 1 ),NA,0.1
17. Kern,"8,000-9,000'",17,2,1.3,0.3,3.9,"5,084",314.7,NA,NA,1.1 ( 6 ),0.2
17. Kern,"9,000-10,000'",40,11,4.2,2,22.8,"20,245",189.2,10.8 ( 1 ),6.9 ( 1 ),4.3 ( 3 ),1.2
17. Kern,"10,000-11,000'",53,27,7.9,6.4,66.1,"44,273",129.2,12.7 ( 2 ),2.3 ( 2 ),7.9 ( 4 ),6.7
17. Kern,"11,000-12,000'",52,30,9.2,8.7,71.5,"42,318",91.6,19.3 ( 1 ),15.3 ( 1 ),10.5 ( 2 ),13.9
17. Kern,"12,000-13,000'",55,31,8.2,10.1,70.2,"20,306",37.8,NA,NA,NA,13.6
17. Kern,">13,000'",59,34,7.6,11.3,63.9,"3,535",5.9,NA,NA,NA,7.3
18. Truckee§,"5,000-6,000'",0,0,0,0,0,0,68.6,NA,NA,NA,0.1
18. Truckee§,"6,000-7,000'",7,1,0.7,0.2,3.6,"1,860",206.5,6.1 ( 4 ),4.4 ( 4 ),8.5 ( 2 ),0.6
18. Truckee§,"7,000-8,000'",24,10,4.1,3.3,32.9,"19,887",111.9,6.7 ( 2 ),3.2 ( 2 ),NA,3.1
18. Truckee§,"8,000-9,000'",30,15,6.7,6.8,56.5,"11,038",30.5,NA,NA,NA,10.2
18. Truckee§,"9,000-10,000'",35,17,7.4,6.5,61.9,"2,573",7.4,NA,NA,NA,16.2
18. Truckee§,"10,000-11,000'",36,18,8.6,5.7,55.2,148,0.5,NA,NA,NA,21.5
19. Tahoe§,"6,000-7,000'",1,0,0.1,0,0.3,180,312.6,4.2 ( 2 ),0.9 ( 2 ),0.0 ( 2 ),0.4
19. Tahoe§,"7,000-8,000'",19,6,2.3,1.6,18,"8,862",107.1,4.6 ( 4 ),1.4 ( 4 ),0.4 ( 4 ),1.8
19. Tahoe§,"8,000-9,000'",29,15,5.3,5.5,45.6,"20,737",70.9,5.0 ( 1 ),0.0 ( 1 ),16.0 ( 1 ),3.9
19. Tahoe§,"9,000-10,000'",35,21,7.8,8.7,57.3,"7,684",16.5,NA,NA,NA,5.7
19. Tahoe§,"10,000-11,000'",38,24,6.3,6.4,57.8,360,1.1,NA,NA,NA,5.1
20. W Carson§,"5,000-6,000'",0,0,0,0,0,0,0.3,NA,NA,NA,0
20. W Carson§,"6,000-7,000'",0,0,0,0,0,0,1.9,NA,NA,NA,0
20. W Carson§,"7,000-8,000'",24,6,2.7,1,16.3,"1,424",28.1,NA,NA,NA,0.9
20. W Carson§,"8,000-9,000'",35,17,5.9,3.5,47,"5,227",27.8,10.7 ( 3 ),5.9 ( 3 ),2.0 ( 1 ),3.8
20. W Carson§,"9,000-10,000'",37,22,7.2,4.9,53.6,"1,830",6.9,NA,NA,NA,3.4
20. W Carson§,"10,000-11,000'",33,20,8.9,6,59,93,0.3,NA,NA,NA,3.4
21. E Carson§,"5,000-6,000'",0,0,0,0,0,0,33.4,NA,NA,NA,0
21. E Carson§,"6,000-7,000'",1,0,0,0,0,0,79.4,0.0 ( 1 ),0.0 ( 1 ),NA,0
