,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
15. Pecos,"11,000-12,000'",54,3.6,65.8,"8,173",42.7,2.3 ( 1 ),NA,3.2
15. Pecos,"12,000-13,000'",65,6.1,88.2,376,1.2,NA,NA,3.6
16. Provo-Utah Lake-Jordan,"5,000-6,000'",0,0,0.5,915,683.2,NA,NA,0.1
16. Provo-Utah Lake-Jordan,"6,000-7,000'",4,0.2,4.6,"9,273",711.3,3.0 ( 1 ),NA,0.4
16. Provo-Utah Lake-Jordan,"7,000-8,000'",20,1.6,25.5,"54,069",653.4,2.2 ( 3 ),NA,2.1
16. Provo-Utah Lake-Jordan,"8,000-9,000'",49,4.6,65,"96,001",390.1,5.6 ( 9 ),NA,4.9
16. Provo-Utah Lake-Jordan,"9,000-10,000'",64,7.1,82.5,"79,020",209,10.4 ( 5 ),NA,7.7
16. Provo-Utah Lake-Jordan,"10,000-11,000'",66,8.3,82.2,"20,284",46,NA,NA,9.4
16. Provo-Utah Lake-Jordan,"11,000-12,000'",59,8,74.9,496,1.2,NA,NA,5.3
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",4,0.2,19.4,"20,319","2,440.90",NA,NA,0
17. Rio Chama-Upper Rio Grande,"8,000-9,000'",11,0.4,20.3,"23,931","1,222.80",1.6 ( 2 ),NA,0.4
17. Rio Chama-Upper Rio Grande,"9,000-10,000'",27,1.1,34.9,"50,650",848.3,2.4 ( 5 ),NA,2.2
17. Rio Chama-Upper Rio Grande,"10,000-11,000'",39,2.1,48.3,"59,678",532.9,3.4 ( 4 ),NA,3.7
17. Rio Chama-Upper Rio Grande,"11,000-12,000'",45,2.9,47.6,"23,604",154.6,5.6 ( 1 ),NA,3.2
17. Rio Chama-Upper Rio Grande,"12,000-13,000'",63,5.6,75.3,"8,421",28.4,NA,NA,1.7
18. Rio Grande Headwaters,"7,000-8,000'",1,0,1.3,"5,261","2,682.20",NA,NA,0
