,,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,Elevation Band,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
17. Kern§,"10,000-11,000'",15,35,4.8,5.9,52.4,"40,678",129.2,0.0 ( 2 ),0.0 ( 2 ),5.4
17. Kern§,"11,000-12,000'",16,46,8.6,12.6,73.6,"61,750",91.6,NA,14.2 ( 1 ),13.8
17. Kern§,"12,000-13,000'",15,51,9.2,15.7,67.5,"31,645",37.8,NA,NA,13.9
17. Kern§,">13,000'",16,53,9.7,14.2,63.5,"4,474",5.9,NA,NA,7.3
18. Truckee,"5,000-6,000'",0,0,0,0,0,0,68.6,NA,NA,0
18. Truckee,"6,000-7,000'",5,5,0.5,0.3,8.9,"3,152",206.5,5.7 ( 4 ),5.7 ( 4 ),0.1
18. Truckee,"7,000-8,000'",12,24,3.1,4,50.3,"23,873",111.9,3.6 ( 2 ),4.3 ( 2 ),2.9
18. Truckee,"8,000-9,000'",13,42,5.8,11.2,62.5,"18,147",30.5,NA,NA,11.5
18. Truckee,"9,000-10,000'",15,39,7.2,10.1,72.3,"3,995",7.4,NA,NA,19.8
18. Truckee,"10,000-11,000'",15,37,7.4,9.1,71.8,235,0.5,NA,NA,25.9
19. Tahoe,"6,000-7,000'",1,1,0,0,0.9,507,312.6,0.1 ( 2 ),0.0 ( 2 ),0
19. Tahoe,"7,000-8,000'",10,18,1.8,2.1,33.6,"11,721",107.1,1.2 ( 4 ),0.1 ( 4 ),1.2
19. Tahoe,"8,000-9,000'",14,37,4.9,7.8,61.4,"29,592",70.9,0.9 ( 1 ),0.0 ( 1 ),4.5
19. Tahoe,"9,000-10,000'",15,46,7.6,12.1,64.9,"10,616",16.5,NA,NA,8.2
19. Tahoe,"10,000-11,000'",16,33,5.2,6.3,86.5,355,1.1,NA,NA,7.8
20. W Carson,"5,000-6,000'",0,0,0,0,0,0,0.3,NA,NA,0
20. W Carson,"6,000-7,000'",0,0,0,0,0,0,1.9,NA,NA,0
20. W Carson,"7,000-8,000'",10,12,1.1,1,26.6,"1,534",28.1,NA,NA,0.7
20. W Carson,"8,000-9,000'",16,33,3.7,4.9,55.9,"7,285",27.8,6.0 ( 3 ),4.9 ( 3 ),4
20. W Carson,"9,000-10,000'",16,43,5.1,8.8,58.9,"3,253",6.9,NA,NA,5.5
20. W Carson,"10,000-11,000'",16,38,6.5,11.1,63,171,0.3,NA,NA,7
21. E Carson,"5,000-6,000'",5,10,0,0,0.3,12,33.4,NA,NA,0
21. E Carson,"6,000-7,000'",7,3,0,0,1.2,134,79.4,0.0 ( 1 ),0.0 ( 1 ),0
21. E Carson,"7,000-8,000'",11,17,0.5,0.7,19.2,"3,957",100.2,0.6 ( 1 ),0.1 ( 1 ),0.5
21. E Carson,"8,000-9,000'",14,29,2.4,3.5,51.8,"18,070",97.3,2.6 ( 2 ),2.6 ( 2 ),3.5
21. E Carson,"9,000-10,000'",15,46,5.2,10.1,73.1,"18,711",34.7,NA,NA,9.2
21. E Carson,">10,000'",14,63,6.5,18.6,68,"10,128",10.2,NA,NA,12.7
22. W Walker,"6,000-7,000'",0,0,0,0,0,0,7.3,NA,NA,0
22. W Walker,"7,000-8,000'",10,10,0.3,0.2,8.9,503,38.7,0.0 ( 1 ),0.0 ( 1 ),0.1
22. W Walker,"8,000-9,000'",20,29,2.7,2.5,55.7,"6,087",46.1,5.4 ( 2 ),5.6 ( 2 ),5
22. W Walker,"9,000-10,000'",16,48,6.6,10.4,72.7,"33,771",60.8,40.8 ( 1 ),42.9 ( 1 ),17
22. W Walker,"10,000-11,000'",13,62,8.6,18.3,70.8,"24,353",24.9,NA,NA,16.3
22. W Walker,"11,000-12,000'",15,50,7,11.4,65.7,"1,169",1.9,NA,NA,13.5
23. E Walker,"6,000-7,000'",0,0,0,0,0,0,60.6,NA,NA,0
23. E Walker,"7,000-8,000'",2,3,0,0,1,126,111.7,NA,NA,0.1
23. E Walker,"8,000-9,000'",9,15,0.4,0.4,14.3,"2,045",88.1,NA,NA,1.4
23. E Walker,"9,000-10,000'",27,37,4.4,3.9,54.4,"11,253",53.9,6.1 ( 1 ),6.2 ( 1 ),7.5
23. E Walker,"10,000-11,000'",42,51,10,9.2,67.3,"16,919",34.7,NA,NA,11.2
23. E Walker,">11,000'",45,54,9.6,9.2,75.2,"3,605",7.3,NA,NA,9.6
24. Mono,"6,000-7,000'",0,0,0,0,0,0,374.9,NA,NA,0
24. Mono,"7,000-8,000'",1,0,0,0,0.1,16,392.8,NA,NA,0
24. Mono,"8,000-9,000'",3,4,0.1,0.1,4.2,611,178.9,NA,NA,0.3
24. Mono,"9,000-10,000'",18,27,2.6,2.1,50.1,"7,173",64.1,NA,NA,4.9
24. Mono,"10,000-11,000'",26,48,8.5,9.1,73.7,"22,904",47.2,NA,NA,12.4
24. Mono,"11,000-12,000'",23,59,9,14.4,75.2,"18,180",23.7,NA,NA,10.5
24. Mono,"12,000-13,000'",21,53,8.5,13,80.8,"2,938",4.2,NA,NA,9.4
25. Upper Owens,"6,000-7,000'",0,0,0,0,0,0,68.6,NA,NA,0
25. Upper Owens,"7,000-8,000'",1,2,0,0,0.9,239,143.6,NA,NA,0
25. Upper Owens,"8,000-9,000'",10,20,1,1,26.2,"4,099",75.4,NA,NA,1.5
25. Upper Owens,"9,000-10,000'",16,32,3.1,2.9,58.4,"6,768",44.2,18.6 ( 1 ),19.4 ( 1 ),3.6
25. Upper Owens,"10,000-11,000'",24,37,6,5.4,73,"9,323",32.4,NA,NA,3.4
25. Upper Owens,"11,000-12,000'",25,50,7.1,9.2,70.2,"7,647",15.5,NA,NA,2
25. Upper Owens,"12,000-13,000'",37,50,8.3,8.2,68.9,"1,266",2.9,NA,NA,1
26. Owens,"5,000-6,000'",0,0,0,0,0,0,421.9,NA,NA,0
26. Owens,"6,000-7,000'",0,0,0,0,0,0,342.5,NA,NA,0
26. Owens,"7,000-8,000'",0,0,0,0,0,0,314.8,NA,NA,0.1
26. Owens,"8,000-9,000'",2,2,0,0,0.8,127,178.7,NA,NA,0.3
26. Owens,"9,000-10,000'",12,15,0.5,0.5,14.7,"4,099",148.1,0.1 ( 2 ),0.1 ( 2 ),0.8
26. Owens,"10,000-11,000'",20,34,2.3,2.3,46.2,"20,513",163.8,2.9 ( 2 ),2.8 ( 2 ),3.2
26. Owens,"11,000-12,000'",21,50,4.7,6.3,61.8,"44,002",132,NA,NA,6.5
26. Owens,"12,000-13,000'",18,58,5.5,10.3,61.7,"33,998",62.1,NA,NA,5.2
26. Owens,">13,000'",19,53,4.7,6.7,57.6,"3,296",9.2,NA,NA,3.1
