,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
13. Upper Cowlitz,"6,000-7,000'",88,18.5,83.7,"19,527",19.8,NA,NA,33.8
13. Upper Cowlitz,"7,000-8,000'",70,23.3,88.3,"3,485",2.8,NA,NA,53.1
13. Upper Cowlitz,"8,000-9,000'",64,28.2,95.1,291,0.2,NA,NA,89
13. Upper Cowlitz,"9,000-10,000'",31,21.1,82.7,435,0.4,NA,NA,297.8
13. Upper Cowlitz,"10,000-11,000'",0,0,77.8,0,0.1,NA,NA,733.7
14. Upper Deschutes-Crooked,"4,000-5,000'",3,0.1,4.6,"23,198","3,903.90",3.5 ( 1 ),0.0 ( 1 ),0.6
14. Upper Deschutes-Crooked,"5,000-6,000'",15,0.9,14.3,"73,274","1,478.40",4.5 ( 6 ),0.6 ( 2 ),1.8
14. Upper Deschutes-Crooked,"6,000-7,000'",36,4.2,37,"57,481",255.5,NA,NA,4.6
14. Upper Deschutes-Crooked,"7,000-8,000'",52,10.5,59.3,"22,557",40.2,NA,NA,8.4
14. Upper Deschutes-Crooked,"8,000-9,000'",46,15.1,83.1,"2,490",3.1,NA,NA,18
14. Upper Deschutes-Crooked,"9,000-10,000'",62,20,96.9,719,0.7,NA,NA,18.3
15. Upper Yakima,"3,000-4,000'",42,1.9,36.8,"49,001",489,8.8 ( 1 ),NA,4.6
15. Upper Yakima,"4,000-5,000'",65,4.8,50.5,"92,091",359.8,7.7 ( 1 ),NA,6.9
15. Upper Yakima,"5,000-6,000'",90,10,73,"86,145",161.7,3.8 ( 1 ),NA,11.6
15. Upper Yakima,"6,000-7,000'",97,16,89.1,"17,486",20.5,NA,NA,21.9
15. Upper Yakima,"7,000-8,000'",78,27.7,96.7,997,0.7,NA,NA,44
16. Willamette,"0-1,000'",NA,0,0,1,"5,006.40",0.4 ( 1 ),NA,0
16. Willamette,"1,000-2,000'",0,0,0,0,"2,005.80",0.2 ( 1 ),NA,0
16. Willamette,"2,000-3,000'",3,0,0.1,343,"1,614.10",0.4 ( 2 ),NA,0
16. Willamette,"3,000-4,000'",12,0.1,3,"10,135","1,472.90",1.1 ( 7 ),NA,0.7
16. Willamette,"4,000-5,000'",24,0.8,12,"35,426",879.1,4.3 ( 7 ),NA,2.5
16. Willamette,"5,000-6,000'",40,2.8,31.5,"62,178",410.8,NA,NA,3.8
16. Willamette,"6,000-7,000'",49,7.3,43.9,"26,881",68.9,NA,NA,7.1
16. Willamette,"7,000-8,000'",56,17.9,73.6,"8,773",9.2,NA,NA,13.8
16. Willamette,"8,000-9,000'",47,23.5,83,"3,743",3,NA,NA,15.3
16. Willamette,"9,000-10,000'",49,22.6,81.4,930,0.8,NA,NA,16.3
