,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
18. Upper Green§,"10,000-11,000'",94,76,14.6,10.7,74.9,"271,283",473.5,9.5 ( 2 ),5.7 ( 2 ),NA,17.1
18. Upper Green§,"11,000-12,000'",95,75,16.7,11.2,67.6,"115,945",194.1,NA,NA,NA,15.8
18. Upper Green§,"12,000-13,000'",88,66,15.6,8.9,56.1,"16,202",34.1,NA,NA,NA,9.5
18. Upper Green§,"13,000-14,000'",130,114,24,7.7,60.4,197,0.5,NA,NA,NA,16.3
19. Upper Missouri,"4,000-5,000'",7,0,0.1,0,0,0,"1,182.20",NA,NA,NA,0
19. Upper Missouri,"5,000-6,000'",38,3,1.2,0.1,1,"4,149","1,057.70",NA,NA,NA,0.1
19. Upper Missouri,"6,000-7,000'",72,34,5,2.3,22,"67,439",556.4,4.9 ( 1 ),2.5 ( 1 ),2.0 ( 2 ),0.9
19. Upper Missouri,"7,000-8,000'",100,82,8.5,7.4,55.3,"53,109",135.1,5.8 ( 1 ),2.7 ( 1 ),7.3 ( 1 ),3.8
19. Upper Missouri,"8,000-9,000'",144,137,15.4,15.7,80,"20,093",23.9,NA,NA,NA,10.9
19. Upper Missouri,">9,000'",148,153,16.6,18.7,66,867,0.9,NA,NA,NA,15.1
20. Upper No Platte,"7,000-8,000'",0,0,0,0,0,0,"4,078.60",0.3 ( 1 ),0.0 ( 1 ),NA,0
20. Upper No Platte,"8,000-9,000'",22,2,1.8,0.2,3.2,"17,355","2,114.90",4.0 ( 2 ),0.2 ( 2 ),0.0 ( 1 ),0.2
20. Upper No Platte,"9,000-10,000'",51,18,5.6,2.2,36.2,"109,124",945.5,12.2 ( 8 ),7.6 ( 8 ),1.9 ( 9 ),4.6
20. Upper No Platte,"10,000-11,000'",67,32,9.5,5,60.1,"104,896",394.1,19.3 ( 6 ),16.5 ( 6 ),15.2 ( 2 ),11.2
20. Upper No Platte,"11,000-12,000'",80,42,12.9,7.4,61.4,"21,779",54.9,NA,NA,NA,7
20. Upper No Platte,"12,000-13,000'",89,46,13.4,7.9,43.2,890,2.1,NA,NA,NA,1.6
21. Upper Shoshone,"5,000-6,000'",0,0,0,0,0,0,101.7,NA,NA,NA,0
21. Upper Shoshone,"6,000-7,000'",9,3,0.1,0,0.8,411,206.7,NA,NA,NA,0
21. Upper Shoshone,"7,000-8,000'",59,35,2.8,1.6,19.6,"23,720",280.5,4.5 ( 1 ),0.0 ( 1 ),NA,1.2
21. Upper Shoshone,"8,000-9,000'",106,79,9,6.8,52.2,"119,829",330.1,7.9 ( 2 ),4.7 ( 2 ),NA,8
21. Upper Shoshone,"9,000-10,000'",131,114,15,13.5,65,"239,958",333.2,NA,NA,NA,15.1
21. Upper Shoshone,"10,000-11,000'",131,115,18.2,16.9,58.1,"183,918",204.2,21.3 ( 1 ),21.4 ( 1 ),NA,15.4
21. Upper Shoshone,"11,000-12,000'",131,115,19.4,18.5,52.7,"48,288",48.9,NA,NA,NA,13.6
22. Upper Snake Basins,"4,000-5,000'",0,0,0,0,0,0,919.5,NA,NA,NA,0
22. Upper Snake Basins,"5,000-6,000'",1,0,0,0,0,0,"1,919.80",NA,NA,NA,0
22. Upper Snake Basins,"6,000-7,000'",18,5,1.9,0.5,9.9,"80,902","2,908.40",4.3 ( 6 ),0.6 ( 6 ),2.7 ( 6 ),0.4
22. Upper Snake Basins,"7,000-8,000'",68,42,8.8,5.6,52.3,"247,849",823.2,12.8 ( 4 ),8.6 ( 4 ),6.6 ( 4 ),7.4
22. Upper Snake Basins,"8,000-9,000'",120,98,20,17.1,86.6,"300,209",329.4,NA,NA,13.5 ( 3 ),23.3
22. Upper Snake Basins,"9,000-10,000'",138,120,25.2,22.9,82.9,"80,995",66.3,34.7 ( 1 ),33.7 ( 1 ),NA,26.8
22. Upper Snake Basins,"10,000-11,000'",133,118,27.7,25.5,77.1,"10,630",7.8,NA,NA,NA,30.1
23. Upper Yellowstone,"4,000-5,000'",1,0,0,0,0,0,"3,428.40",NA,NA,NA,0.2
23. Upper Yellowstone,"5,000-6,000'",1,0,0,0,0,22,"1,793.50",0.0 ( 1 ),0.6 ( 1 ),NA,0.2
23. Upper Yellowstone,"6,000-7,000'",39,12,2.4,0.7,8.6,"38,214","1,036.50",2.7 ( 3 ),0.7 ( 4 ),0.0 ( 1 ),0.6
23. Upper Yellowstone,"7,000-8,000'",73,50,6.5,4.7,47.6,"378,294","1,514.30",9.1 ( 6 ),6.3 ( 6 ),1.3 ( 2 ),6.1
23. Upper Yellowstone,"8,000-9,000'",113,94,12.4,11.1,75.2,"1,093,323","1,850.20",18.9 ( 6 ),18.3 ( 6 ),6.4 ( 4 ),13.5
23. Upper Yellowstone,"9,000-10,000'",136,122,17.9,17.2,78.1,"1,078,804","1,177.70",27.4 ( 3 ),28.1 ( 3 ),7.2 ( 1 ),20
23. Upper Yellowstone,"10,000-11,000'",130,119,19.9,19.3,66.2,"378,808",368.6,NA,NA,NA,21.6
23. Upper Yellowstone,"11,000-12,000'",132,119,21.1,20.6,59.7,"68,419",62.3,NA,NA,NA,20
23. Upper Yellowstone,"12,000-13,000'",136,126,20.9,21.1,49.9,"1,627",1.4,NA,NA,NA,20.3
24. Wind,"4,000-5,000'",0,0,0,0,0,0,354.7,NA,NA,NA,0
24. Wind,"5,000-6,000'",0,0,0,0,0,0,"3,030.20",NA,NA,NA,0
24. Wind,"6,000-7,000'",0,0,0,0,0,0,"1,717.90",NA,NA,NA,0
24. Wind,"7,000-8,000'",13,2,0.4,0.1,0.9,"2,505",738.1,NA,NA,0.3 ( 3 ),0
24. Wind,"8,000-9,000'",64,28,4.7,2.2,25.2,"67,661",578.7,5.8 ( 3 ),1.2 ( 4 ),0.0 ( 1 ),1.2
24. Wind,"9,000-10,000'",100,69,10.2,7.5,60.7,"237,762",592.4,11.6 ( 5 ),9.2 ( 5 ),10.8 ( 2 ),9.3
24. Wind,"10,000-11,000'",112,93,14.7,12.9,69.2,"331,710",482,11.4 ( 1 ),10.4 ( 1 ),NA,17.9
24. Wind,"11,000-12,000'",119,102,17.6,16.1,55.2,"195,315",227.4,NA,NA,NA,18.8
24. Wind,"12,000-13,000'",121,106,22.2,20,60.5,"29,484",27.6,NA,NA,NA,17.9
24. Wind,"13,000-14,000'",117,105,23.7,19.7,73.5,"1,113",1.1,NA,NA,NA,12
25. Wood and Lost Basins,"5,000-6,000'",0,0,0,0,0,15,"2,760.00",0.0 ( 2 ),0.0 ( 2 ),0.0 ( 2 ),0
25. Wood and Lost Basins,"6,000-7,000'",17,4,1.1,0.2,3.5,"23,838","1,847.10",3.0 ( 4 ),1.1 ( 4 ),1.3 ( 4 ),0.1
25. Wood and Lost Basins,"7,000-8,000'",66,31,5.7,2.7,29,"199,592","1,388.10",10.9 ( 6 ),7.2 ( 6 ),0.8 ( 2 ),1.6
25. Wood and Lost Basins,"8,000-9,000'",87,59,9.6,7.4,61.2,"341,204",864.9,15.0 ( 3 ),12.7 ( 3 ),14.9 ( 1 ),5.8
25. Wood and Lost Basins,"9,000-10,000'",97,77,13.7,12.5,72.2,"292,198",436.9,20.1 ( 1 ),18.9 ( 1 ),8.2 ( 1 ),8.9
25. Wood and Lost Basins,"10,000-11,000'",102,84,15.8,15.1,63.9,"91,563",113.3,NA,NA,NA,6.9
25. Wood and Lost Basins,"11,000-12,000'",110,92,17.2,16.6,59.8,"8,736",9.8,NA,NA,NA,5.5
