,,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,Elevation Band,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
23. Upper Yellowstone,"10,000-11,000'",129,134,14.1,14.5,87.7,"285,689",368.6,NA,NA,17.1
23. Upper Yellowstone,"11,000-12,000'",129,134,15.1,15.6,85.8,"51,758",62.3,NA,NA,14.1
23. Upper Yellowstone,"12,000-13,000'",131,136,14.9,15.4,86.9,"1,192",1.4,NA,NA,9
24. Wind,"4,000-5,000'",0,0,0,0,0,0,354.7,NA,NA,0
24. Wind,"5,000-6,000'",0,0,0,0,0,9,"3,030.20",NA,NA,0
24. Wind,"6,000-7,000'",2,1,0,0,0.8,"3,280","1,717.90",NA,NA,0
24. Wind,"7,000-8,000'",25,23,1.1,1,9.8,"38,443",738.1,NA,NA,0.4
24. Wind,"8,000-9,000'",72,70,4.4,4.6,53.4,"141,098",578.7,3.9 ( 4 ),4.0 ( 4 ),3
24. Wind,"9,000-10,000'",94,94,7,7.4,72.5,"234,813",592.4,9.3 ( 5 ),9.7 ( 5 ),8.1
24. Wind,"10,000-11,000'",111,113,10.6,11.1,81.6,"286,193",482,8.7 ( 1 ),8.9 ( 1 ),11.3
24. Wind,"11,000-12,000'",114,117,12.7,13.2,80.8,"159,913",227.4,NA,NA,12.1
24. Wind,"12,000-13,000'",114,119,15.2,15.7,87.2,"23,145",27.6,NA,NA,11.7
24. Wind,"13,000-14,000'",115,125,17.5,17.7,91.5,"1,004",1.1,NA,NA,11.7
25. Wood and Lost Basins,"5,000-6,000'",3,2,0.1,0.1,1.5,"18,880","2,760.00",1.2 ( 2 ),0.9 ( 2 ),0.2
25. Wood and Lost Basins,"6,000-7,000'",51,46,3.6,3.3,35,"325,724","1,847.10",4.3 ( 4 ),4.7 ( 4 ),2.1
25. Wood and Lost Basins,"7,000-8,000'",74,76,5.9,6.2,66.4,"460,666","1,388.10",9.4 ( 6 ),10.3 ( 6 ),5.4
25. Wood and Lost Basins,"8,000-9,000'",85,87,7.8,8.2,82.7,"377,893",864.9,11.7 ( 3 ),12.6 ( 3 ),8.1
25. Wood and Lost Basins,"9,000-10,000'",96,96,10.6,10.9,85.8,"254,501",436.9,16.3 ( 1 ),17.5 ( 1 ),10.2
25. Wood and Lost Basins,"10,000-11,000'",98,98,11.9,12,79.6,"72,691",113.3,NA,NA,9.7
25. Wood and Lost Basins,"11,000-12,000'",104,104,12.9,13.1,78.6,"6,854",9.8,NA,NA,7.7
