,,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,Elevation Band,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
22. Lower Yakima,"4,000-5,000'",34,17,3.2,1.6,27.5,"10,806",127.1,9.2 ( 1 ),6.1 ( 1 ),0.7
22. Lower Yakima,"5,000-6,000'",58,43,8.2,6.4,77.6,"12,845",37.4,19.4 ( 1 ),18.4 ( 1 ),9.9
22. Lower Yakima,"6,000-7,000'",83,75,14.8,14,87.4,"6,995",9.4,NA,NA,18.9
23. Malheur,"5,000-6,000'",16,5,1,0.3,5.1,"11,782",857.7,2.3 ( 3 ),1.4 ( 3 ),0.1
23. Malheur,"6,000-7,000'",55,39,6.5,4.6,52.8,"25,380",104.2,NA,NA,2.4
23. Malheur,"7,000-8,000'",93,75,15.7,13.1,89.6,"19,065",27.3,NA,NA,5.9
24. Middle Humboldt,"6,000-7,000'",0,0,0,0,0,0,473.7,NA,NA,0
24. Middle Humboldt,"7,000-8,000'",3,0,0.2,0,0,0,145.7,NA,NA,0
24. Middle Humboldt,"8,000-9,000'",30,1,2.7,0.1,0.4,37,13,NA,NA,0
24. Middle Humboldt,"9,000-10,000'",69,32,6.9,3.2,16.7,99,0.6,NA,NA,0
25. Northern Big Smoky Valley,"7,000-8,000'",1,0,0,0,0.2,142,318.1,NA,NA,0
25. Northern Big Smoky Valley,"8,000-9,000'",12,2,0.8,0.2,4.5,"1,825",154.3,NA,NA,0
25. Northern Big Smoky Valley,"9,000-10,000'",37,20,3.8,2.2,32,"8,676",72.5,NA,NA,0.7
25. Northern Big Smoky Valley,"10,000-11,000'",54,36,6.2,4.4,40.4,"5,781",24.7,NA,NA,2.6
25. Northern Big Smoky Valley,"11,000-12,000'",66,46,7.5,5.5,56,936,3.2,NA,NA,0.5
26. Northern Great Basin,"6,000-7,000'",1,0,0,0,0,25,"1,927.20",0.0 ( 1 ),0.0 ( 1 ),0
26. Northern Great Basin,"7,000-8,000'",20,4,1.5,0.3,2.9,"3,582",255.9,2.6 ( 1 ),0.0 ( 1 ),0
