,,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,Elevation Band,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"8,000-9,000'",90,115,10.4,7.8,68.6,"61,736",149,13.2 ( 1 ),12.9 ( 1 )
,">9,000'",83,98,11.2,10.2,82.4,"9,446",17,NA,NA
14. Upper Green,"7,000-8,000'",44,147,0,0,0.1,"1,240","6,357",0.1 ( 1 ),0.1 ( 1 )
,"8,000-9,000'",64,121,0.9,0.4,7.1,"35,754","1,595",6.3 ( 7 ),4.9 ( 7 )
,"9,000-10,000'",73,112,4.9,3.4,38.4,"162,825",892,4.6 ( 9 ),3.6 ( 9 )
,"10,000-11,000'",66,86,8.7,7.6,67.4,"190,097",470,5.1 ( 2 ),3.3 ( 2 )
,"11,000-12,000'",64,75,10.7,9.2,75.7,"94,340",193,NA,NA
,"12,000-13,000'",70,65,11.8,9.1,76.7,"15,440",32,NA,NA
,"13,000-14,000'",98,71,20.2,18.3,95.6,282,0,NA,NA
15. Upper Missouri,"4,000-5,000'",NA,NA,0,0,0,0,"1,174",NA,NA
,"5,000-6,000'",75,63,0,0,0,1,"1,058",NA,NA
,"6,000-7,000'",121,120,0.4,0,0.3,463,562,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",163,345,4.4,1.5,20.2,"10,873",132,0.1 ( 1 ),0.0 ( 1 )
,">8,000'",113,171,12.6,10,80.1,"12,961",24,NA,NA
16. Upper Snake Basins,"4,000-5,000'",NA,NA,0,0,0,0,891,NA,NA
,"5,000-6,000'",44,0,0,0,0,0,"1,909",NA,NA
,"6,000-7,000'",53,26,0.2,0,0.2,812,"2,847",0.1 ( 6 ),0.0 ( 6 )
,"7,000-8,000'",68,68,2.9,1,16.5,"43,971",821,5.0 ( 4 ),2.0 ( 4 )
,"8,000-9,000'",66,86,9.9,8.7,69.8,"154,822",333,NA,NA
,"9,000-10,000'",88,81,17.7,14,87,"50,309",67,36.8 ( 1 ),37.8 ( 1 )
,"10,000-11,000'",108,82,25.9,18.4,89.6,"6,543",7,NA,NA
17. Upper Yellowstone,"4,000-5,000'",NA,NA,0,0,0,0,"3,414",NA,NA
,"5,000-6,000'",42,0,0,0,0,0,"1,794",0.1 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",51,147,0.1,0,0.3,535,"1,046",0.0 ( 4 ),0.0 ( 4 )
,"7,000-8,000'",63,99,1.1,0.3,4.9,"19,325","1,359",5.6 ( 5 ),3.7 ( 5 )
,"8,000-9,000'",86,111,5.5,3.2,39.9,"317,039","1,839",13.7 ( 5 ),10.9 ( 5 )
,"9,000-10,000'",85,92,11.7,9.6,79,"603,872","1,182",23.0 ( 4 ),21.3 ( 4 )
,"10,000-11,000'",82,83,14.1,12.4,84.5,"247,852",374,NA,NA
,"11,000-12,000'",84,78,16.8,13.5,85.2,"42,861",60,NA,NA
,"12,000-13,000'",84,73,16.9,12,75.1,"1,052",2,NA,NA
18. Wood and Lost Basins,"5,000-6,000'",>300† ,0,0,0,0,0,"2,754",0.1 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",121,55,0,0,0,80,"1,853",0.1 ( 4 ),0.2 ( 4 )
,"7,000-8,000'",64,45,0.4,0,0.5,"1,547","1,378",0.7 ( 6 ),0.1 ( 5 )
,"8,000-9,000'",73,80,2.6,0.5,6.8,"22,257",879,2.4 ( 3 ),0.1 ( 3 )
,"9,000-10,000'",62,105,6.1,3.3,39.5,"77,404",436,7.6 ( 1 ),4.1 ( 1 )
,"10,000-11,000'",63,95,8.7,6.1,64.5,"36,726",112,NA,NA
,"11,000-12,000'",76,91,12.2,8.7,78.6,"3,923",8,NA,NA
