,,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,Elevation Band,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"7,000-8,000'",140,134,49.5,54.1,91.9,"114,183",40,NA,NA
,"8,000-9,000'",150,143,-,-,98.2,-,2,NA,NA
,"9,000-10,000'",143,134,-,-,98.7,-,1,NA,NA
15. Upper Yakima,"3,000-4,000'",59,41,1.8,1.3,5.8,"35,253",492,14.6 ( 1 ),11.4 ( 1 )
,"4,000-5,000'",93,74,9.5,7,25,"134,152",359,25.8 ( 1 ),21.3 ( 1 )
,"5,000-6,000'",116,101,24.2,21.1,70.9,"180,559",161,12.8 ( 1 ),9.8 ( 1 )
,"6,000-7,000'",123,106,39,36.6,87.7,"41,427",21,NA,NA
,"7,000-8,000'",118,117,-,-,96.7,-,1,NA,NA
16. Willamette,"1,000-2,000'",0,0,0,0,0,0,"1,975",0.1 ( 1 ),0.0 ( 1 )
,"2,000-3,000'",25,3,0,0,0,25,"1,621",0.0 ( 2 ),0.0 ( 2 )
,"3,000-4,000'",58,30,0.4,0.2,1.2,"13,633","1,455",1.1 ( 6 ),0.1 ( 6 )
,"4,000-5,000'",119,104,6.3,5.2,22,"244,405",883,28.6 ( 8 ),27.7 ( 7 )
,"5,000-6,000'",141,133,22.7,22.9,67.5,"487,882",400,39.7 ( 1 ),35.8 ( 1 )
,"6,000-7,000'",139,125,44.3,46.5,80.8,"165,583",67,NA,NA
,"7,000-8,000'",144,131,-,-,91.7,-,11,NA,NA
,"8,000-9,000'",153,140,-,-,96.1,-,2,NA,NA
,"9,000-10,000'",170,153,-,-,97.5,-,1,NA,NA
